Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCG54,OUT035,2824.645
FDM44,OUT046,1686.4167
FDT57,OUT018,3237.1555
FDV24,OUT046,2291.8567
FDI50,OUT019,900.58936
FDS09,OUT035,801.313
NCC31,OUT027,3676.3796
FDQ07,OUT019,395.26913
FDC22,OUT017,3152.3267
FDZ56,OUT046,2619.6082
FDZ40,OUT019,-9.016028
FDS46,OUT027,3022.3582
DRD24,OUT045,2118.844
FDV45,OUT017,3332.9585
FDL26,OUT045,2396.2861
FDA56,OUT018,1772.7107
FDN27,OUT046,1681.497
FDM20,OUT049,4043.2346
FDO16,OUT017,1409.0533
FDL03,OUT035,3337.1094
FDE58,OUT046,1836.503
FDI02,OUT027,3013.0627
NCC55,OUT019,-105.23371
FDR03,OUT018,2933.863
FDB14,OUT017,1532.1216
FDR45,OUT013,3832.4531
NCN07,OUT017,2107.74
FDM51,OUT019,399.517
FDT52,OUT027,6201.3423
FDL26,OUT046,2346.9736
NCZ42,OUT046,3730.6055
DRI47,OUT019,594.3903
FDW40,OUT013,2061.047
FDN34,OUT046,2758.1929
FDS01,OUT035,3143.7224
NCG55,OUT045,1883.8102
FDC11,OUT035,1336.0574
FDX35,OUT018,3047.9385
NCB06,OUT046,2509.3093
FDR09,OUT019,571.8543
FDC53,OUT017,1689.3477
FDY45,OUT013,4195.9385
FDA22,OUT010,716.81635
FDE02,OUT035,1663.738
FDW21,OUT045,1516.1979
FDV34,OUT046,1227.5428
FDS59,OUT049,1727.8556
NCW17,OUT017,2101.6384
NCK54,OUT046,1873.5859
FDG17,OUT019,792.37427
FDG35,OUT017,3140.624
FDD08,OUT010,-253.7667
NCO07,OUT017,3934.8103
FDJ10,OUT010,368.0525
FDW36,OUT017,1738.1547
FDW21,OUT010,362.17783
FDY19,OUT017,1939.5428
DRE03,OUT013,840.31177
NCC55,OUT049,730.59106
FDH52,OUT010,-58.464832
FDO09,OUT017,4759.8193
FDU43,OUT045,3955.5928
FDX09,OUT010,743.40393
FDH40,OUT019,238.07135
FDW58,OUT017,1654.8623
FDC47,OUT017,3943.1582
NCR41,OUT035,1674.7642
DRG49,OUT035,4472.3916
FDC52,OUT027,3668.9526
FDY13,OUT046,1232.4653
FDY35,OUT013,784.7591
FDI35,OUT017,3324.3743
NCU18,OUT049,2164.4707
FDY33,OUT018,2210.5469
FDC15,OUT027,3744.541
FDU01,OUT049,3348.6272
NCU42,OUT046,2611.0166
NCV29,OUT018,2477.7822
NCY30,OUT017,3321.678
FDQ46,OUT049,1921.36
FDG58,OUT027,3663.8296
FDK33,OUT017,3907.6614
NCD07,OUT045,1862.6682
NCX29,OUT027,3663.8296
NCT42,OUT013,2291.7625
DRN59,OUT035,772.67255
FDI44,OUT035,1395.8618
FDA45,OUT049,2797.2092
FDP31,OUT045,735.7641
FDY01,OUT046,1861.0355
FDT09,OUT018,1910.6576
DRH03,OUT027,2555.745
FDA36,OUT018,2419.4653
NCF31,OUT017,2465.842
FDG14,OUT049,2435.3123
FDG28,OUT027,5942.672
FDU14,OUT049,4083.9744
FDY47,OUT019,603.8494
FDI56,OUT049,1404.6986
DRD01,OUT013,958.8022
FDM22,OUT046,1014.4158
FDH33,OUT013,765.0374
DRZ24,OUT013,1861.5503
NCQ38,OUT046,1690.0858
FDO16,OUT027,2244.4478
FDU07,OUT027,3830.4043
NCB07,OUT013,2998.5164
FDU48,OUT045,2090.9126
NCM43,OUT045,2695.682
FDR31,OUT010,572.3858
DRK49,OUT018,548.4939
NCI30,OUT010,1078.2959
DRD60,OUT017,3130.8801
NCG19,OUT046,3384.0835
FDH12,OUT035,1749.3998
FDM32,OUT035,1461.5316
FDM27,OUT035,2455.2021
NCU53,OUT027,4163.493
NCQ18,OUT046,1602.093
FDS10,OUT013,2798.9915
FDB33,OUT027,3943.5957
FDI12,OUT013,1379.1471
NCW42,OUT013,3878.7546
NCC06,OUT018,1806.4188
FDW02,OUT017,2144.1255
NCD43,OUT017,1769.3512
FDM57,OUT018,1138.9016
FDA58,OUT017,3896.6016
FDK56,OUT046,3009.373
FDP52,OUT045,4479.4653
FDW20,OUT018,1764.1517
FDS52,OUT049,1601.1643
NCT29,OUT018,1584.4468
NCL54,OUT013,2797.298
FDC05,OUT045,3097.8486
FDF34,OUT035,3273.97
FDP03,OUT027,3364.7595
FDD32,OUT010,188.53564
FDZ10,OUT045,2030.2922
FDZ40,OUT035,956.9157
FDD51,OUT018,521.5325
NCY30,OUT019,493.898
FDP58,OUT017,3767.189
FDV49,OUT017,4670.18
FDY24,OUT019,-100.34937
NCO55,OUT017,1738.1547
FDR13,OUT017,1959.0172
FDS51,OUT017,1014.68536
FDP26,OUT045,1581.0385
NCB54,OUT027,3426.858
FDF32,OUT017,3368.4695
FDN31,OUT018,2605.91
DRM48,OUT017,627.1912
FDN20,OUT049,2789.5508
DRL01,OUT046,3831.1133
FDV56,OUT049,1705.458
DRH13,OUT027,2628.8806
FDA03,OUT017,2395.3406
FDF47,OUT027,5465.76
FDX32,OUT046,2331.186
FDX57,OUT049,1616.4379
NCA30,OUT045,3091.0588
FDO49,OUT013,883.6113
FDL04,OUT019,257.5133
DRM48,OUT035,627.1912
FDR16,OUT013,3276.0747
NCC19,OUT018,2607.8162
NCE42,OUT045,3202.0164
FDY24,OUT017,908.9918
FDH19,OUT049,2988.3826
FDJ46,OUT013,2806.5935
FDN45,OUT010,963.8963
FDY08,OUT035,2174.7644
FDZ37,OUT035,1444.1536
NCT30,OUT045,786.08844
DRY23,OUT018,561.59094
NCZ30,OUT018,1775.4897
FDC44,OUT018,1551.8745
FDB45,OUT035,1654.2236
FDY04,OUT013,2619.676
FDM27,OUT046,2539.967
FDZ43,OUT017,4240.0586
FDT39,OUT019,589.1065
NCC06,OUT019,770.012
FDL15,OUT027,3673.125
FDL57,OUT017,4457.863
FDU08,OUT046,1606.0519
FDK40,OUT017,3949.0056
FDQ12,OUT010,1346.435
FDS48,OUT017,2488.4238
FDP09,OUT045,3657.1646
FDW21,OUT049,1494.01
FDY25,OUT035,3149.0063
DRE13,OUT017,1399.5264
FDV43,OUT019,-99.35023
FDD22,OUT045,1862.6682
FDM46,OUT019,132.41086
NCO30,OUT010,783.5673
FDM25,OUT046,2797.298
NCN41,OUT049,2064.7861
FDU24,OUT045,1395.7952
FDZ50,OUT046,2976.93
FDP45,OUT013,3699.0903
NCM54,OUT045,2043.3793
FDW10,OUT019,484.6024
FDP20,OUT017,2087.2737
FDK32,OUT046,2340.4814
FDN52,OUT049,1376.4246
FDM58,OUT045,1906.5267
FDZ46,OUT027,2616.3306
NCA18,OUT018,1580.26
FDD35,OUT046,1973.888
NCK31,OUT035,815.3031
FDI40,OUT027,2649.1653
FDT50,OUT019,219.37999
NCT06,OUT046,2658.2085
FDT31,OUT035,3225.218
FDT45,OUT049,940.5981
FDT13,OUT045,3179.2686
FDO50,OUT045,1372.5077
NCU18,OUT010,498.00894
NCR54,OUT049,3184.0376
NCO18,OUT018,2477.7822
FDU09,OUT045,874.3443
FDT13,OUT018,2691.4233
FDE09,OUT046,1873.5859
NCK53,OUT019,390.2214
FDG45,OUT049,3824.3047
DRH15,OUT035,695.9528
FDO21,OUT019,681.12994
FDD14,OUT027,5107.8003
FDC09,OUT046,1695.0083
FDH45,OUT027,1128.6621
FDV32,OUT046,1116.2241
FDG12,OUT035,1960.5895
FDS32,OUT013,2052.5745
NCL55,OUT018,3283.5266
DRE01,OUT035,4086.039
DRE15,OUT049,1361.2987
NCL42,OUT045,3613.0354
FDP31,OUT013,969.41876
FDN33,OUT018,1148.468
FDZ59,OUT046,2624.5444
FDE45,OUT010,743.40393
FDJ07,OUT013,1851.2689
FDQ45,OUT018,2543.0906
FDM33,OUT027,5754.2734
FDO15,OUT010,118.19112
FDM46,OUT013,1456.6948
FDR03,OUT045,3588.5874
FDY49,OUT018,2447.0957
FDQ60,OUT045,1845.2737
FDW10,OUT049,2855.2705
FDO51,OUT049,724.10175
FDJ40,OUT018,1370.8397
FDS20,OUT018,2644.2495
FDU45,OUT013,1882.1775
FDV02,OUT035,2912.9268
FDN09,OUT046,3841.0447
NCM55,OUT027,5052.35
FDN23,OUT018,1990.8529
FDY31,OUT010,546.39874
FDW03,OUT010,327.70612
FDD14,OUT046,2943.2542
FDV23,OUT017,2056.0632
DRI03,OUT045,2845.8167
FDN13,OUT035,1612.645
FDF45,OUT027,1921.8838
FDU46,OUT035,1427.4712
FDB57,OUT049,3976.9722
FDV12,OUT049,1763.6654
FDQ58,OUT013,2312.4658
NCA18,OUT017,1933.782
FDH52,OUT049,1005.73834
FDM24,OUT018,2088.3582
NCP43,OUT027,4570.043
NCO18,OUT019,458.62018
FDM32,OUT017,1369.0697
NCL07,OUT017,649.37177
FDK03,OUT013,3962.7832
FDP59,OUT017,1585.8
FDQ24,OUT049,4318.3228
FDQ16,OUT018,1394.9468
FDU44,OUT013,2492.9458
FDH28,OUT010,-211.50626
FDV28,OUT019,-142.1764
FDM22,OUT045,894.9713
FDR56,OUT046,3017.9646
FDV39,OUT049,3076.853
FDU37,OUT019,212.82709
FDQ11,OUT010,1433.7684
FDX02,OUT045,3879.0796
NCS42,OUT018,1208.3748
FDY57,OUT027,2571.4688
FDB21,OUT049,3834.4146
FDE28,OUT017,3934.5667
FDQ55,OUT017,1954.0947
FDA48,OUT049,3737.3652
FDZ19,OUT045,2891.697
NCC43,OUT045,3981.0498
NCV18,OUT046,1354.5085
NCA42,OUT018,2291.197
FDY45,OUT046,4031.302
NCC30,OUT045,2930.2334
FDM57,OUT013,1379.1471
FDL09,OUT010,502.5951
FDB09,OUT027,3486.484
FDT44,OUT035,1942.3735
NCT06,OUT027,4118.606
FDX26,OUT049,3159.3665
FDK32,OUT013,2340.4814
DRA12,OUT046,2065.006
FDO46,OUT010,794.424
FDE52,OUT013,1359.2545
NCH42,OUT045,3991.5044
FDV08,OUT035,688.5943
FDB47,OUT018,3110.428
FDC28,OUT010,359.0524
FDD22,OUT046,1861.0355
FDS07,OUT027,3134.787
DRI13,OUT045,3672.546
FDG32,OUT018,3352.5012
FDU14,OUT017,4261.5625
FDD28,OUT019,-9.016028
NCP41,OUT017,1766.6976
FDS08,OUT049,2943.3071
FDX47,OUT045,2383.951
FDC53,OUT019,397.48788
FDQ19,OUT035,4195.1543
FDL14,OUT045,2380.9048
FDM33,OUT019,404.999
FDA51,OUT045,1830.74
FDZ27,OUT018,697.9243
FDT04,OUT046,781.40076
DRC13,OUT049,2024.3765
FDR16,OUT027,5389.951
FDQ03,OUT027,6256.7925
FDE38,OUT035,2895.0056
DRH23,OUT027,1825.3661
FDT11,OUT019,516.18866
FDD09,OUT035,3149.0063
FDR40,OUT045,1345.3817
FDX07,OUT017,3321.678
FDR07,OUT035,1215.1095
FDA51,OUT017,1907.802
FDT59,OUT019,838.89105
FDF20,OUT017,3343.8992
FDR13,OUT045,1875.2186
FDY26,OUT049,3666.2554
FDW04,OUT017,2114.2153
FDK52,OUT017,4046.1125
FDN60,OUT049,2455.564
FDM09,OUT019,484.6024
FDP46,OUT049,1385.0161
FDB50,OUT019,146.73795
NCQ29,OUT049,4012.1082
FDP16,OUT027,6413.371
FDX33,OUT018,2228.3386
FDP07,OUT010,820.4344
FDN22,OUT046,3528.4978
FDF39,OUT049,4256.5747
FDS21,OUT017,1007.89557
NCM42,OUT013,1687.1171
FDK50,OUT019,562.5538
DRF13,OUT027,3676.3796
FDH35,OUT018,2241.7585
FDP60,OUT018,1347.513
DRJ49,OUT027,3350.7363
NCT42,OUT019,591.1357
FDE38,OUT049,2779.758
FDI04,OUT049,3175.446
NCH54,OUT045,2388.7957
FDT56,OUT049,967.30786
DRD15,OUT018,3077.4058
FDV58,OUT013,2484.0972
FDP21,OUT049,3216.2986
FDH05,OUT013,3626.6055
FDR10,OUT027,4030.8018
NCP06,OUT045,2161.8367
FDF33,OUT049,1876.7124
DRK37,OUT013,3228.282
DRH49,OUT045,1316.5735
FDT58,OUT013,2598.4666
FDD41,OUT018,1427.7025
FDP40,OUT018,1612.7185
FDM51,OUT027,2628.8806
FDO45,OUT010,192.06042
FDW33,OUT010,358.53766
FDY24,OUT045,976.1723
FDB10,OUT010,1011.17163
FDM40,OUT035,2163.5195
NCI06,OUT017,3133.0667
FDW12,OUT019,581.8401
FDX48,OUT027,3676.3796
NCW05,OUT027,2649.1653
FDX27,OUT017,1511.0574
DRM37,OUT045,3106.4402
FDA38,OUT045,3889.812
FDR36,OUT046,754.40344
FDZ45,OUT046,3017.9646
FDG05,OUT017,2633.1558
FDK28,OUT013,4082.4292
FDV47,OUT045,1338.6779
FDN21,OUT045,2531.4016
FDP20,OUT027,3531.1558
FDI35,OUT045,3109.6948
DRY23,OUT013,765.0374
FDA56,OUT017,2092.918
FDB09,OUT013,1969.9291
NCO26,OUT027,3013.0627
FDQ49,OUT018,2577.7297
FDI52,OUT027,3364.7595
FDZ44,OUT027,3147.3372
FDZ09,OUT018,2227.8494
FDY03,OUT049,1937.2086
NCG42,OUT017,2108.731
DRI13,OUT027,5556.1245
FDQ32,OUT013,1958.2018
FDW16,OUT035,1485.8077
FDU27,OUT046,827.1462
FDR28,OUT010,629.2949
FDQ49,OUT010,610.9858
FDS37,OUT046,1874.1007
FDW26,OUT018,3367.0208
FDX12,OUT018,3453.388
NCP06,OUT013,2265.2732
FDW45,OUT010,577.3488
NCN30,OUT049,1606.637
FDN24,OUT049,940.5981
NCL41,OUT027,1159.3909
FDR02,OUT019,370.3288
FDD09,OUT010,755.95416
FDS33,OUT010,221.68777
FDU22,OUT045,1862.6682
FDI53,OUT013,2629.295
DRH01,OUT049,3003.0527
FDX32,OUT013,2061.047
NCP30,OUT018,588.41315
FDB60,OUT045,3101.1033
FDB14,OUT049,1497.3208
NCP02,OUT035,936.2257
FDJ10,OUT017,2148.8918
FDG34,OUT046,1774.9629
NCB18,OUT017,1412.9193
FDM16,OUT049,1230.2576
FDW25,OUT018,1371.8291
FDB35,OUT010,192.06042
DRN11,OUT013,2052.9705
FDF41,OUT019,935.8773
FDH16,OUT045,1318.2476
NCQ50,OUT018,3038.6738
DRH23,OUT018,772.6691
DRJ37,OUT013,2322.5945
DRJ24,OUT027,5107.8003
FDY16,OUT035,3191.7678
FDQ27,OUT045,1669.103
FDZ33,OUT045,2367.84
FDF29,OUT045,2087.864
FDA08,OUT049,2742.0125
FDG31,OUT046,1135.3256
FDE34,OUT019,526.509
NCR30,OUT027,1932.9227
FDV33,OUT035,4280.1406
DRZ24,OUT018,1773.747
NCL54,OUT035,3023.4768
FDR12,OUT049,2999.2393
NCC54,OUT046,3572.052
DRN59,OUT013,873.28156
FDX50,OUT019,357.7785
FDV31,OUT027,4724.067
NCA29,OUT027,4570.043
FDW60,OUT049,2950.5732
FDX08,OUT017,3328.4678
DRD49,OUT013,3460.4683
FDD33,OUT046,3837.1133
FDW35,OUT013,763.36957
FDJ36,OUT017,1741.4493
FDV51,OUT035,2903.6257
FDW36,OUT046,1691.9612
FDH35,OUT046,2604.7622
NCS30,OUT027,3453.9363
FDN49,OUT017,673.6429
FDL08,OUT018,2976.4631
FDI09,OUT013,3388.8596
FDP19,OUT018,1773.2368
FDU21,OUT010,-227.99284
NCP41,OUT045,1646.9197
FDY10,OUT013,1886.6946
FDP12,OUT018,566.815
NCN26,OUT049,1933.3956
FDK44,OUT013,2805.8896
FDC28,OUT049,1710.4832
FDJ41,OUT027,6211.299
NCT29,OUT035,2061.36
NCH42,OUT019,835.6364
FDU60,OUT018,2409.2139
FDS02,OUT045,3065.4055
FDC51,OUT046,1966.4612
FDU03,OUT013,2998.5164
FDX39,OUT045,3739.4978
NCY05,OUT010,-227.99284
NCL06,OUT027,6217.298
FDD32,OUT035,1576.9086
NCN41,OUT045,2010.6759
NCX53,OUT049,2219.5417
FDU57,OUT019,581.8401
FDQ23,OUT046,1681.6664
FDQ52,OUT045,4004.8752
FDC14,OUT045,691.91095
FDY09,OUT035,3157.598
FDQ28,OUT045,2376.4316
FDV25,OUT046,3763.652
FDJ07,OUT035,1960.5895
DRB25,OUT049,1689.2385
FDK52,OUT019,374.34955
FDY52,OUT027,1849.2577
FDB28,OUT046,3017.9338
FDT36,OUT035,645.31757
FDV25,OUT017,4179.8354
NCN07,OUT027,3466.4863
FDC57,OUT017,3321.1697
FDQ03,OUT018,3120.9214
FDU23,OUT017,2950.1746
NCX41,OUT035,3935.7031
NCD06,OUT035,790.068
FDW08,OUT045,1631.0615
NCU29,OUT017,2475.9487
NCE06,OUT013,2449.5637
FDV52,OUT010,283.86392
FDB02,OUT017,3149.0063
NCR18,OUT045,691.91095
FDK16,OUT049,1610.395
NCQ29,OUT010,1082.653
FDZ01,OUT019,397.48788
FDW27,OUT035,2376.0312
FDD17,OUT018,3313.093
FDW39,OUT013,2792.4534
DRH59,OUT045,1122.0298
FDS52,OUT013,1684.2518
FDU40,OUT027,5329.888
NCF54,OUT013,2794.1619
FDH46,OUT045,1608.1226
NCP14,OUT049,1671.1437
FDH50,OUT049,3221.7634
DRF15,OUT010,532.80493
FDV27,OUT027,2266.9275
NCJ06,OUT049,2050.1162
FDN02,OUT018,2971.4639
FDQ51,OUT049,834.1364
FDQ07,OUT017,4024.3113
FDS45,OUT049,1730.5348
NCJ06,OUT045,1996.0065
FDD36,OUT035,1959.0172
FDY25,OUT045,3101.1033
FDU52,OUT046,2323.1091
DRK47,OUT017,4320.9194
NCL30,OUT017,2073.5977
FDN22,OUT035,3924.1587
NCF30,OUT027,3432.9707
FDK03,OUT035,4416.8286
FDT45,OUT017,929.02716
NCC54,OUT027,5766.48
FDP08,OUT018,2602.4268
FDU44,OUT046,2629.295
DRG39,OUT035,827.97546
FDU32,OUT049,2060.9727
FDY27,OUT049,2986.4055
NCP54,OUT013,1982.4795
NCZ41,OUT049,2060.9739
DRL49,OUT013,2153.2158
FDI05,OUT018,1168.3662
FDY56,OUT045,3870.6523
DRC13,OUT013,1937.2915
NCV29,OUT017,3149.0063
FDR24,OUT049,1438.4565
FDZ34,OUT018,2526.5603
FDP37,OUT035,2088.0625
FDX08,OUT027,4736.617
FDS57,OUT045,2106.294
NCG18,OUT049,1692.2856
FDK25,OUT018,2720.395
FDH53,OUT049,1256.0273
DRI59,OUT018,3212.928
FDA52,OUT046,2805.8896
FDT20,OUT010,-220.0978
FDE36,OUT019,553.2582
FDI24,OUT017,3023.4768
FDB28,OUT018,2541.467
FDV11,OUT017,3023.4768
FDP01,OUT046,2252.7231
FDD34,OUT027,4030.4407
FDJ50,OUT027,1699.6832
FDZ44,OUT013,1836.9895
DRO59,OUT035,1303.9104
DRB48,OUT045,696.09894
FDR21,OUT018,2473.3994
NCE42,OUT010,857.388
FDO23,OUT046,1461.658
NCE30,OUT018,2966.4094
FDQ22,OUT035,686.98425
FDY01,OUT045,1862.6682
FDS08,OUT017,3045.9104
FDG28,OUT018,2976.4631
FDQ51,OUT018,650.32916
FDB05,OUT017,4226.0503
FDO56,OUT049,1930.1409
FDE02,OUT018,1240.6758
FDN45,OUT017,3837.1987
FDS09,OUT013,871.0611
NCA54,OUT018,2429.475
FDP09,OUT010,829.97833
FDC53,OUT045,1540.2297
NCM55,OUT017,3321.1196
FDL09,OUT018,2369.447
FDA11,OUT019,223.74426
FDA50,OUT045,1508.7504
FDC23,OUT017,3140.7454
FDE22,OUT049,2608.9182
FDD23,OUT046,3009.373
NCA29,OUT049,2999.2393
FDK38,OUT046,2317.844
DRC13,OUT046,1937.2915
NCP43,OUT049,2986.8076
FDX28,OUT049,1607.3524
FDF08,OUT049,1430.6847
FDZ33,OUT046,2322.5945
FDD10,OUT049,2882.9248
FDO58,OUT017,2888.2444
FDI50,OUT017,4364.215
FDO58,OUT045,2680.3005
FDX08,OUT013,2809.8481
NCK17,OUT010,-252.39554
FDF39,OUT035,4285.39
FDU45,OUT010,500.22415
NCJ18,OUT018,1551.8745
DRC27,OUT019,209.25916
DRC25,OUT035,1370.2439
FDU59,OUT035,2567.9392
FDU28,OUT035,3465.6504
NCP30,OUT046,698.4207
FDB39,OUT018,770.7583
FDE41,OUT013,1379.1471
DRH11,OUT010,-150.9448
FDA58,OUT045,3719.2192
FDU50,OUT046,1797.8551
FDM34,OUT013,1985.2004
FDM44,OUT027,2750.605
FDR39,OUT045,2879.2952
FDM25,OUT045,2909.0918
FDQ49,OUT049,2427.7102
DRH25,OUT018,816.678
FDM09,OUT027,4404.391
FDL44,OUT019,576.2432
NCR42,OUT018,593.9995
DRL59,OUT046,987.71576
FDX43,OUT013,2555.0845
DRK47,OUT010,1029.7831
FDU48,OUT018,1911.1971
FDY12,OUT045,786.08844
NCN43,OUT018,1738.377
NCM55,OUT018,2605.91
FDQ21,OUT027,3384.3748
FDX13,OUT035,4404.9214
NCK30,OUT027,6272.824
FDG20,OUT049,2995.2808
DRG27,OUT017,632.0148
FDY14,OUT018,4279.579
FDP59,OUT035,1628.9884
FDU60,OUT017,3087.3572
NCC18,OUT019,351.89447
DRJ39,OUT017,3927.2185
FDS07,OUT049,1920.8452
FDM08,OUT027,6301.974
FDP51,OUT045,1998.8372
FDU16,OUT035,1380.4807
FDH12,OUT013,1691.9612
DRE48,OUT010,794.424
NCL42,OUT027,6204.597
FDR21,OUT045,2902.302
NCW29,OUT035,2171.6628
FDO11,OUT013,3775.45
NCM31,OUT049,2138.4844
FDV35,OUT019,449.13202
FDF58,OUT017,1009.7629
NCE43,OUT049,2787.8574
FDA02,OUT035,2440.3376
DRL37,OUT010,-243.804
FDR24,OUT018,1191.8239
FDW59,OUT049,1369.0868
FDS22,OUT049,757.85974
FDW24,OUT017,809.15344
FDU24,OUT035,1621.7723
FDA21,OUT027,5055.605
FDH58,OUT027,3025.6128
FDW36,OUT018,1361.5441
FDI45,OUT027,4736.617
FDU01,OUT018,2786.6743
FDF35,OUT027,2649.1653
